date_madrid,moon_sign_00UT,moon_phase_today_name,moon_phase_today_time_madrid,voc_segments_today,ingresses_today,stations_today,data_flags
2025-12-03,Taurus,,,,,,
2025-12-04,Taurus,,,02:50–03:48,03:48 Moon Taurus→Taurus,,
2025-12-05,Gemini,Full,2025-12-05 00:14:00,,,,phase crosses midnight; see Events
2025-12-06,Gemini,,,01:55–02:54,02:54 Moon Gemini→Gemini,,
2025-12-07,Cancer,,,,,,
2025-12-08,Cancer,,,02:45–03:48,03:48 Moon Cancer→Cancer,,
2025-12-09,Leo,,,,,,
2025-12-10,Leo,,,05:56–08:20,08:20 Moon Leo→Leo,13:23 Neptune Station Direct,
2025-12-11,Virgo,Last Quarter,2025-12-11 21:52:00,,23:40 Mercury Scorpio→Sagittarius,08:34 True Node Station Direct,
2025-12-12,Virgo,,,15:51–17:04,17:04 Moon Virgo→Virgo,02:31 True Node Station Rx,
2025-12-13,Libra,,,,,,
2025-12-14,Libra,,,15:34–00:00,,,
2025-12-15,Libra,,,00:00–04:51,04:51 Moon Libra→Libra; 08:34 Mars Sagittarius→Capricorn,,
2025-12-16,Scorpio,,,,,,
2025-12-17,Scorpio,,,14:25–17:39,17:39 Moon Scorpio→Sagittarius,,
2025-12-18,Sagittarius,,,,,,
2025-12-19,Sagittarius,,,,,,
2025-12-20,Sagittarius,New,2025-12-20 02:43:00,02:43–05:53,05:53 Moon Sagittarius→Capricorn,,
2025-12-21,Capricorn,,,,16:03 Sun Sagittarius→Sagittarius,,
2025-12-22,Capricorn,,,02:27–16:52,16:52 Moon Capricorn→Aquarius,,
2025-12-23,Aquarius,,,,,,
2025-12-24,Aquarius,,,00:54–00:00,17:26 Venus Sagittarius→Capricorn,,
2025-12-25,Aquarius,,,00:00–02:09,02:09 Moon Aquarius→Pisces,23:03 True Node Station Direct,
2025-12-26,Pisces,,,,,,
2025-12-27,Pisces,First Quarter,2025-12-27 20:10:00,08:03–09:02,09:02 Moon Pisces→Aries,23:48 True Node Station Rx,
2025-12-28,Aries,,,,,,
2025-12-29,Aries,,,03:13–12:57,12:57 Moon Aries→Aries,,
2025-12-30,Taurus,,,,,,
2025-12-31,Taurus,,,13:25–14:13,14:13 Moon Taurus→Taurus,,
2026-01-01,Gemini,,,,22:11 Mercury Sagittarius→Capricorn,,
2026-01-02,Gemini,,,13:24–14:09,14:09 Moon Gemini→Gemini,15:38 Chiron Station Direct,
2026-01-03,Cancer,Full,2026-01-03 11:03:00,,,,
2026-01-04,Cancer,,,13:59–14:43,14:43 Moon Cancer→Cancer,,
2026-01-05,Leo,,,,,,
2026-01-06,Leo,,,14:05–17:57,17:57 Moon Leo→Virgo,,
2026-01-07,Virgo,,,,,12:22 True Node Station Direct,
2026-01-08,Virgo,,,,,,
2026-01-09,Virgo,,,00:23–01:06,01:06 Moon Virgo→Libra,,
2026-01-10,Libra,Last Quarter,2026-01-10 16:48:00,16:08–00:00,,17:25 True Node Station Rx,
2026-01-11,Libra,,,00:00–11:55,11:55 Moon Libra→Libra,,
2026-01-12,Scorpio,,,,,,
2026-01-13,Scorpio,,,19:49–00:00,,,
2026-01-14,Scorpio,,,00:00–00:34; 00:34–00:00,00:34 Moon Scorpio→Sagittarius,,
2026-01-15,Sagittarius,,,00:00–00:00,,,
2026-01-16,Sagittarius,,,00:00–12:47,12:47 Moon Sagittarius→Sagittarius,,
